Subject,Stat_Eff_AUC,Stat_SWP_AUC,Stat_Clust_AUC,Stat_Stre_AUC,Stat_Betw_AUC,Stat_Part_AUC,Dyn_EffVar_AUC,Dyn_MeanBOLD_Var,Dyn_MeanEdge_Var
Subj_73,-0.6947557327595967,0.20889302153855469,-0.3737298551071494,-0.47968514948098606,0.021602656105969526,-0.8496282951296747,-0.8039450570400518,-0.9947679808088137,-1.5130174286445304
Subj_74,0.17971554918181748,-0.12270652273763594,0.06895405427069753,0.17926399279171398,-0.6461229636447632,-0.11525804595696715,-0.15468480244093408,-0.2209949676571022,-0.1750035714491351
Subj_75,0.5169668473387348,-0.6312684596267937,0.9866601013191572,0.6210057360132976,-1.9055127162189744,1.3093107689030552,1.5027687799885097,-0.2002495895756297,0.33145732333881844
Subj_76,-0.6112195391912949,0.33277896904264725,-0.19848410310257375,-0.4387181455878363,0.16160964089241409,-1.0118035233118934,-0.37113258858764825,-0.09748928255271846,-0.9539775467103898
Subj_77,-0.6801677979266606,1.1901057708770786,0.009180216654206912,-0.8077168726449989,1.7124562416037903,-2.3400121577621746,-1.0236099247915182,-0.6636835823433949,-0.5942831603211961
Subj_78,2.3314574108121278,-2.6898961253752076,2.6029038867174914,2.449057038993874,0.30861697491817985,-1.2673087656548525,1.2154880045377392,1.5277910891323774,1.2526241842948318
Subj_79,-0.9255522767735589,1.0715646407103685,-0.9649935820357662,-0.9833402014038012,0.8683756698624425,0.8818341684576355,-0.9210135061790392,-0.5329543537730161,-1.3618821125569123
Subj_80,1.247893013620784,-1.6724210968871223,0.34160407340728843,1.3539582518875504,0.8567981691974099,-1.9236465007064747,0.29631120169333275,0.3605322189990424,0.796864496427104
Subj_81,0.07851646225516751,0.2212522522899595,0.6299652453309305,-0.06363342970946283,-1.1743800870120729,1.0099072555529713,0.27547182437913154,0.23145999051631239,0.13861025994863652
Subj_82,-0.8599018478767844,1.0063738503371946,-0.8518230390882304,-0.8596266995707595,0.7407539183455697,-0.8274931234271449,-1.0667653820344458,-0.8626475860650712,-1.0947135942245894
